Instructed,Rule,Stimulation,Site,Accuracy,EncodingTime,ResponseTime,Subject
0,1,2,1,1,0.80182,0.50138,2
1,1,1,1,1,0.51818,1.3191,2
1,0,0,1,1,1.1023,0.90185,2
0,0,1,1,1,0.8853,0.86851,2
1,1,2,1,1,0.51821,0.66827,2
0,1,1,1,1,0.86877,1.4526,2
1,1,0,1,1,0.75189,0.55146,2
1,1,2,1,1,0.71839,0.55141,2
1,0,2,1,1,0.53494,0.95192,2
1,1,0,1,1,0.71841,0.51809,2
0,1,1,1,1,0.7686,1.219,2
1,0,0,1,1,0.73502,0.7684,2
0,0,2,1,0,0.73509,0.78507,2
0,1,1,1,1,1.4027,1.002,2
1,1,0,1,1,0.73507,0.58479,2
0,0,2,1,1,0.51813,0.70156,2
1,1,1,1,1,1.0524,0.56812,2
1,1,1,1,1,0.75199,0.60135,2
0,1,0,1,1,0.95212,0.5014,2
0,0,2,1,1,1.2358,0.80179,2
0,1,2,0,1,3.2556,0.96867,3
1,1,0,0,1,1.0522,0.88509,3
1,0,1,0,0,1.0523,1.0855,3
0,1,1,0,1,1.1358,0.65157,3
1,1,2,0,1,0.83536,0.70166,3
1,1,0,0,1,0.66848,0.50146,3
1,0,2,0,1,0.93533,0.76846,3
1,1,0,0,1,0.83543,0.6015,3
1,0,1,0,1,1.0189,0.71839,3
1,1,1,0,1,0.90207,0.55151,3
1,0,0,0,1,0.95207,0.88512,3
1,0,2,0,1,1.0357,0.70167,3
1,0,1,0,1,0.80198,0.85192,3
1,0,2,0,1,0.83543,0.70175,3
1,1,0,0,1,0.75177,0.65151,3
0,0,1,0,1,0.80196,0.60152,3
1,0,2,0,1,1.3192,0.75177,3
0,1,0,0,1,0.56827,0.73488,3
1,0,0,0,1,0.63499,0.90196,3
0,1,2,0,1,1.2524,0.75175,3
0,0,1,0,1,1.2358,0.78516,3
0,1,1,0,1,1.1858,0.68494,3
0,1,2,0,1,0.76859,0.50143,3
1,1,0,0,1,0.65168,0.5013,3
0,0,0,0,1,0.93536,0.71834,3
1,0,1,0,1,0.88524,0.63489,3
1,0,2,0,1,0.86866,0.81841,3
1,1,0,0,1,0.90208,0.51805,3
1,0,2,0,1,0.93531,0.71845,3
1,0,1,0,1,1.1189,0.58492,3
0,1,0,0,1,1.069,0.65156,3
0,0,2,0,0,0.93532,0.56808,3
1,0,1,0,1,1.4693,0.55135,3
1,0,1,0,1,0.85194,0.6682,3
0,1,2,0,1,0.58483,0.50142,3
1,1,0,0,1,0.55163,0.50146,3
1,1,2,0,1,1.0689,0.66815,3
0,0,1,0,1,0.83532,1.3359,3
0,0,0,0,0,0.55163,0.75166,3
0,0,2,0,1,1.2024,0.88533,3
1,0,1,0,1,1.1191,0.73515,3
1,1,0,0,1,1.4528,0.51809,3
0,0,1,0,1,0.76859,0.75172,3
0,1,2,0,1,0.96883,0.5681,3
0,1,0,0,1,0.63514,0.50138,3
0,1,0,0,1,0.76865,0.50132,3
1,1,2,0,1,1.1524,0.50139,3
1,0,1,0,0,1.119,0.65157,3
0,0,2,0,0,0.88523,0.58489,3
0,1,1,0,1,1.1524,0.51807,3
1,1,0,0,1,0.83531,0.93522,3
0,0,2,0,1,1.0689,0.90192,3
0,1,0,0,1,1.2358,0.5516,3
0,1,1,0,1,1.1023,0.50137,3
1,0,0,0,0,1.5863,0.6515,3
0,0,2,0,1,1.2526,0.85184,3
0,0,1,0,1,1.3528,1.1523,3
1,1,0,0,1,1.2358,0.61811,3
1,1,1,0,1,1.4696,0.50143,3
0,1,2,0,1,0.96879,0.50131,3
0,1,2,1,1,4.4737,0.65166,3
1,0,1,1,0,1.5865,0.80179,3
0,1,0,1,1,1.1357,0.53477,3
1,0,2,1,1,1.1525,0.88519,3
1,0,1,1,1,1.1857,0.73505,3
1,1,0,1,1,1.002,0.50138,3
0,0,2,1,0,0.88544,0.81847,3
0,1,0,1,1,1.0022,0.53479,3
1,0,1,1,1,1.2359,0.90197,3
0,0,1,1,1,1.2024,0.70169,3
1,0,0,1,1,1.2691,0.71841,3
1,1,2,1,1,1.2025,0.50129,3
1,0,1,1,1,1.0021,0.81835,3
1,1,0,1,1,0.98553,0.55141,3
0,1,2,1,1,0.88548,0.5014,3
0,0,1,1,1,1.0021,0.86849,3
1,1,0,1,1,0.98539,0.63489,3
0,0,2,1,1,1.2527,0.81848,3
1,1,0,1,1,1.4362,0.50147,3
0,0,1,1,0,1.3528,0.60154,3
0,0,2,1,1,1.2692,1.2858,3
0,1,1,1,1,1.0689,0.51801,3
0,0,0,1,1,1.2524,0.88513,3
